tempo,var_buffer
0.0233306884765625,20
0.022491931915283203,30
0.01246500015258789,40
0.012242317199707031,50
0.009016275405883789,60
0.008961915969848633,70
0.006957054138183594,80
0.0069122314453125,90
0.005929708480834961,100
0.006048440933227539,110
0.005976676940917969,120
0.005317211151123047,130
0.005361318588256836,140
0.004923582077026367,150
0.0049591064453125,160
0.004560947418212891,170
0.004640817642211914,180
0.004343748092651367,190
0.0044100284576416016,200
0.0041086673736572266,210
0.0041697025299072266,220
0.004130840301513672,230
0.00399017333984375,240
0.0041348934173583984,250
0.0038518905639648438,260
0.0038552284240722656,270
0.0036880970001220703,280
0.0037126541137695312,290
0.0035860538482666016,300
0.0035758018493652344,310
0.003513813018798828,320
0.0034859180450439453,330
0.003486156463623047,340
0.003447294235229492,350
0.0034079551696777344,360
0.0033674240112304688,370
0.0033462047576904297,380
0.0033097267150878906,390
0.0033195018768310547,400
0.0032236576080322266,410
0.0032300949096679688,420
0.003204345703125,430
0.003216981887817383,440
0.003160715103149414,450
0.003148794174194336,460
0.003378629684448242,470
0.0033559799194335938,480
0.003089427947998047,490
0.003064393997192383,500
0.003112316131591797,510
0.0030257701873779297,520
0.003006458282470703,530
0.0030090808868408203,540
0.0029883384704589844,550
0.0029778480529785156,560
0.0030155181884765625,570
0.0029501914978027344,580
0.0029621124267578125,590
0.0029723644256591797,600
0.0029048919677734375,610
0.002906322479248047,620
0.0029001235961914062,630
0.002882719039916992,640
0.0028405189514160156,650
0.002910137176513672,660
0.0028791427612304688,670
0.002851247787475586,680
0.0028743743896484375,690
0.0028362274169921875,700
0.002832174301147461,710
0.0028116703033447266,720
0.002839326858520508,730
0.0027718544006347656,740
0.0027828216552734375,750
0.002798318862915039,760
0.0027713775634765625,770
0.002771615982055664,780
0.0027914047241210938,790
0.0027620792388916016,800
0.002751588821411133,810
0.0027475357055664062,820
0.0027031898498535156,830
0.0027179718017578125,840
0.0027103424072265625,850
0.0027039051055908203,860
0.0026993751525878906,870
0.0026826858520507812,880
0.0027239322662353516,890
0.002695798873901367,900
0.0027031898498535156,910
0.002712249755859375,920
0.0026803016662597656,930
0.0026710033416748047,940
0.002696514129638672,950
0.002664804458618164,960
0.0026671886444091797,970
0.002963542938232422,980
0.0027954578399658203,990
